start_frame,end_frame,num_frames,hole_number,previous_hole,distance
2,3,1,18,-1,0.0
13,14,1,16,18,137.08792581246493
17,19,2,15,16,72.00318551070315
22,26,4,14,15,72.52065708562127
29,35,6,13,14,73.71346398883327
39,44,5,12,13,70.6759502454738
47,56,9,11,12,70.45949762138267
73,77,4,16,11,323.8988280526979
78,84,6,16,16,0.0
87,92,5,17,16,70.34965940127691
100,101,1,15,17,140.79417171432155
104,105,1,14,15,72.52065708562127
108,114,6,13,14,73.71346398883327
117,118,1,12,13,70.6759502454738
120,122,2,11,12,70.45949762138267
123,129,6,11,11,0.0
133,159,26,10,11,69.69539160859463
160,161,1,10,10,0.0
165,186,21,9,10,69.7058612012171
191,192,1,10,9,69.7058612012171
203,205,2,14,10,264.18545640899595
224,226,2,20,14,360.71273422534335
234,240,6,19,20,64.42494055271443
242,243,1,18,19,66.14536208472144
245,249,4,17,18,68.28053828864105
253,260,7,16,17,70.34965940127691
273,276,3,16,16,0.0
279,284,5,15,16,72.00318551070315
290,315,25,16,15,72.00318551070315
409,411,2,14,16,142.90422073053114
462,464,2,5,14,424.97448741573226
468,488,20,6,5,70.08734323572493
511,520,9,5,6,70.08734323572493
523,533,10,4,5,68.82750984779072
555,561,6,4,4,0.0
563,568,5,3,4,67.26127480261273
571,581,10,2,3,65.37899807120282
583,586,3,1,2,64.23213275709689
588,594,6,20,1,63.76154161770656
597,601,4,20,20,0.0
608,609,1,20,20,0.0
